Technology_Text__c,Sub_Technology_Text__c,SW_Version__c,num,Norm_SWV
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",THIRD_PARTY_PRODUCT_SW,9,THIRD_PARTY_PRODUCT_SW
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",Cisco_Firepower_Mgmt_Center_Virtual_KVM-6.4.0-102.qcow2,3,6.4.0.102
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",ftd-6.2.3-80.pkg,6,6.2.3.80
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",ftd-6.2.3-83.pkg,3,6.2.3.83
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",Cisco_Firepower_Mgmt_Center-6.4.0-102-Restore.iso,3,6.4.0.102
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",asasfr-5500x-boot-6.5.0-1.img,3,6.5.0.1
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",Cisco_FTD_Patch-6.2.3.15-38.sh.REL.tar,3,6.2.3.15.38
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",6.4.0,2,6.4.0
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",6.3.0,1,6.3.0
Identity Services Engine (ISE) - 3.0,ISE Profiling,2.6.0,1,2.6.0
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",ASA,39,ASA
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",CISCO FIRESIGHT DEFENSE CENTER,3,CISCO FIRESIGHT DEFENSE CENTER
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",asa971-4-lfbff-k8.SPA,3,971.4
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",fxos-k9-manager.4.8.1.157.SPA,3,4.8.1.157
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",cisco-ftd-fp2k.6.2.2-81.SPA,3,6.2.2.81
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",asa962-7-smp-k8.bin,3,962.7
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",Cisco_FTD_Patch-6.2.3.15-38.sh.REL.tar,3,6.2.3.15.38
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",FPHIGH,3,FPHIGH
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",fxos-k9.2.1.1.77.SPA,6,2.1.1.77
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",fxos-k9.2.2.2.91.SPA,3,2.2.2.91
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",THIRD_PARTY_PRODUCT_SW,6,THIRD_PARTY_PRODUCT_SW
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",FXOS,21,FXOS
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",Cisco_FTD_Patch-6.4.0.7-53.sh.REL.tar,3,6.4.0.7.53
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",ftd-6.4.0-102.pkg,3,6.4.0.102
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",cisco-asa.9.7.1.4.SPA.csp,3,9.7.1.4
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",9.8.3,1,9.8.3
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",FX-OS,6,FX-OS
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",cisco-ftd-fp2k.6.2.3-79.SPA,3,6.2.3.79
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",9.8,1,9.8
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",ftd-6.1.0-330.pkg.MFG,3,6.1.0.330
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",asa981-7-lfbff-k8.SPA,3,981.7
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",Sourcefire_3D_Defense_Center_S3_Patch-6.2.0.1-59.sh,3,6.2.0.1.59
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",asa981-lfbff-k8.SPA,3,981
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",9.14.2 Interim,1,9.14.2
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",IPS,3,IPS
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",9.6.2 Interim,1,9.6.2
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",cisco-asa.9.10.1.42.SPA.csp,3,9.10.1.42
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",Version: 2.8(1.152),1,2.8.1.152
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",fxos-k9.2.2.2.26.SPA,3,2.2.2.26
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",Cisco_FTD_SSP_FP1K_Patch-6.4.0.9-62.sh.REL.tar,3,6.4.0.9.62
Security - Network Firewalls and Intrusion Prevention Systems,"Firepower eXtensible Operating System (FXOS) on Firepower 9300, 4100 platforms",asa984-3-lfbff-k8.SPA,3,984.3
LAN Switching,Cat6800 (Supervisor 6T) VSS,15.5(1)SY1,2,15.5.1
LAN Switching,Cat6800 (Supervisor 6T) VSS,s6t64-adventerprisek9_npe-mz.SPA.155-1.SY,6,155.1
LAN Switching,Cat6800 (Supervisor 6T) VSS,THIRD_PARTY_PRODUCT_SW,3,THIRD_PARTY_PRODUCT_SW
LAN Switching,Cat6800 (Supervisor 6T) VSS,s2t54-adventerprisek9-mz.SPA.152-1.SY3,3,152.1
LAN Switching,Cat6800 (Supervisor 6T) VSS,s2t54-adventerprisek9_npe-mz.SPA.151-2.SY4a,3,151.2
LAN Switching,Cat6800 (Supervisor 6T) VSS,s6t64-adventerprisek9-mz.SPA.155-1.SY,3,155.1
LAN Switching,Cat6800 (Supervisor 6T) VSS,NA - RMA,3,NA - RMA
LAN Switching,Cat6800 (Supervisor 6T) VSS,15.5(1)SY,1,15.5.1
Security - Access Control - AAA and Policy Management,Cisco Secure ACS 5.x (not Express),ISE,3,ISE
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - Hardware Failure (8000 / 7000 Series, Series 3, Sourcefire)",Cisco_Firepower_Mgmt_Center_Virtual_KVM-6.4.0-102.qcow2,3,6.4.0.102
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - Hardware Failure (8000 / 7000 Series, Series 3, Sourcefire)",CISCO FIREPOWER,18,CISCO FIREPOWER
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - Hardware Failure (8000 / 7000 Series, Series 3, Sourcefire)",6.6.4,1,6.6.4
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - Hardware Failure (8000 / 7000 Series, Series 3, Sourcefire)",NA - RMA,3,NA - RMA
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - Hardware Failure (8000 / 7000 Series, Series 3, Sourcefire)",9.12.4 Interim,2,9.12.4
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - Hardware Failure (8000 / 7000 Series, Series 3, Sourcefire)",CISCO FIRESIGHT DEFENSE CENTER,3,CISCO FIRESIGHT DEFENSE CENTER
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",THIRD_PARTY_PRODUCT_SW,3,THIRD_PARTY_PRODUCT_SW
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",CISCO FIRESIGHT DEFENSE CENTER,3,CISCO FIRESIGHT DEFENSE CENTER
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",CISCO FIREPOWER,18,CISCO FIREPOWER
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",Cisco_FTD_SSP_Patch-6.1.0.5-45.sh,3,6.1.0.5.45
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",ftd-6.0.1-1206.pkg.MFG,3,6.0.1.1206
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",Cisco_FTD_SSP_FP2K_Patch-6.2.3.10-59.sh.REL.tar,3,6.2.3.10.59
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",cisco-ftd-fp2k.6.4.0-102.SPA,3,6.4.0.102
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",SF-ASA-8.3-K8,3,8.3
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",Cisco_FTD_Patch-6.3.0.2-67.sh.REL.tar,3,6.3.0.2.67
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",FPHIGH,6,FPHIGH
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",Cisco_Network_Sensor_Patch-5.4.0.8-23.sh,3,5.4.0.8.23
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",PRODUCT_NOT_FOUND,3,PRODUCT_NOT_FOUND
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",6.2.3,2,6.2.3
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",ftd-6.2.3-83.pkg,3,6.2.3.83
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",Cisco_FTD_SSP_FP2K_Patch-6.4.0.8-28.sh.REL.tar,3,6.4.0.8.28
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",asa961-lfbff-k8.SPA,3,961
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",6.4.0,2,6.4.0
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",ftd-6.4.0-102.pkg,3,6.4.0.102
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",Sourcefire_3D_Device_S3_Patch-6.1.0.3-57.sh,3,6.1.0.3.57
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",ftd-6.2.3-80.pkg,3,6.2.3.80
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",NA-CIN_CLOSE_SW,3,NA-CIN_CLOSE_SW
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",6.4.0.10,1,6.4.0.10
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",Cisco_Firepower_Threat_Defense_Virtual-6.2.3-80.qcow2,3,6.2.3.80
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",6.7.0.1,1,6.7.0.1
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",NCS ALARMS & EVENTS,3,NCS ALARMS & EVENTS
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",Cisco_Network_Sensor_Patch-6.4.0.9-62.sh.REL.tar,3,6.4.0.9.62
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",asasfr-5500x-boot-6.2.3-4.img,3,6.2.3.4
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",ASA,3,ASA
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",Cisco_FTD_Patch-6.2.3.10-59.sh.REL.tar,3,6.2.3.10.59
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",6.6.5,1,6.6.5
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",Cisco_Network_Sensor_Patch-6.2.3.10-59.sh.REL.tar,3,6.2.3.10.59
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",9.10.1 Interim,1,9.10.1
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",6.6.4,1,6.6.4
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",6.1,1,6.1
Security - Network Firewalls and Intrusion Prevention Systems,"FirePOWER - Intrusion Detection and Prevention (IDS / IPS), Snort Engine (Sourcefire)",6.2.3.6,1,6.2.3.6
Telepresence,"Telepresence Camera (Quad Camera, P60, P40, 12X, 4X, 2.5X, and USB PHD Cameras)",CE 9.14.3 EFT Drop 1,1,9.14.3
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,NA - RMA,9,NA - RMA
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,ucs-6300-k9-bundle-infra.4.1.1c.A.bin,3,4.1.1c
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,PRODUCT_NOT_FOUND,3,PRODUCT_NOT_FOUND
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,ucs-k9-bundle-infra.3.2.3i.A.bin,3,3.2.3i
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,ucs-c240m5-huu-4.0.4c.iso,3,4.0.4c
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,1,1,1
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,3.2(3d),3,3.2.3d
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,4.2(1i),1,4.2.1i
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,N10-MGT UCSM 3.1(2),3,3.1.2
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,ucs-c240m5-huu-4.1.3c.iso,3,4.1.3c
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,ucs-6300-k9-bundle-infra.3.2.2c.A.bin,3,3.2.2c
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,ucs-k9-bundle-infra.4.1.3d.A.bin,3,4.1.3d
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,4.1(3c),4,4.1.3c
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,ucs-k9-bundle-infra.4.1.2b.A.bin,3,4.1.2b
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,2,1,2
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,NA - COMPONENT ONLY,6,NA - COMPONENT ONLY
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,THIRD_PARTY_PRODUCT_SW,3,THIRD_PARTY_PRODUCT_SW
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,CIMC 2.0,3,2
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,4.0(4g),2,4.0.4g
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,ucs-k9-bundle-infra.4.1.3c.A.bin,3,4.1.3c
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,5.2(1)SV3(2.8),1,5.2.1
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,4.0(2f),1,4.0.2f
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,3.0(2),2,3.0.2
Data Center Computing - (UCS Blade and Rack Mount Server Systems),UCS-C System/Other Issues,2.2(8k),1,2.2.8k
